PLOr6Y4tcpTUEpgfoSFQ5nLGK49yyrUBKL;;POVIJEST VAN KORICA
PLOr6Y4tcpTUFuxtA_d-yF5sWYuwJIXe2B;;RAZGOVORI
PLOr6Y4tcpTUGjDknlo7j17tHLgx5-AG16;;TARTARIA - Stari (resetirani) svijet
--STREAMS
10626;;HOĆE LI NAS DOISTA "UMJETNA INTELIGENCIJA" UNIŠTITI? | BDNG UŽIVO #204
10836;;KOLIKO JE ALTERNATIVA ZA NJEMAČKU - ALTERNATIVA? 25 GODINA OD 11. RUJN
9896;;PROSVJED ZA LIKU, ULOGA POLITIKE - I OSTALE AKTUALNOSTI | BDNG UŽIVO #
10961;;JESMO LI POSTALI SMETLIŠTE EUROPSKE UNIJE? | BDNG UŽIVO #201
11775;;JUBILARNI SPECIJAL: RAVNA ILI KUGLA? PITANJE KOJE IMA NAJMANJE VEZE S 
11510;;DR. ANTHONY FAUCI - SAMO PREDSTAVA ILI NEŠTO VIŠE? | BDNG UŽIVO #199
10130;;ŠTO IMA NOVOGA U KORPORACIJI - I DRUGDJE? | BDNG UŽIVO #198
9826;;'VAR' DRUŠTVA - PUTOKAZ ZA BUDUĆNOST | BDNG UŽIVO #197
10891;;UŽIVO | TARTARIJA #8 - BUDUĆNOST IZ PROŠLOSTI - ETER I ENERGIJA
7845;;KRAJ RATA, POČETAK MIRA ILI NASTAVAK FARSE? BONUS: UFC "FREEDOM" NOĆ |
10460;;IDIOKRACIJA JE BLAGA RIJEČ ZA OVO | BDNG UŽIVO #195
10905;;ŽIVOT U DOBA DEBI(z)LA | BDNG UŽIVO #194
11660;;MAGA ili MIGA? ŠTO SE DOGAĐA S AMERIKOM? | BDNG UŽIVO #193
8881;;DRNIŠKA TRAGEDIJA - TKO JE ODGOVORAN?; NOVA ESKALACIJA NA ISTOČNOM BOJ
13756;;SVI PUTEVI VODE U KINU... | BDNG UŽIVO #191
13721;;REVOLUCIJA JE TU | BDNG UŽIVO #190
5340;;PUCNJAVA NA VEČERI BIJELE KUĆE - ŠTO STOJI IZA NOVOG "ATENTATA"? | BDN
11453;;ZAŠTO HEGSETH CITIRA TARANTINA KAO BIBLIJU? | BDNG UŽIVO #188
11890;;ŠTO NAM DONOSI BLOKADA BLOKADE U HORMUŠKOM? | BDNG UŽIVO #187
12586;;"OSVAJAMO MJESEC", ALI GUBIMO ZEMLJU? | BDNG UŽIVO #186
11461;;ŠTO JE BLIŽI KRAJ JEDNOG CARSTVA, STVARI POSTAJU SVE LUĐE | BDNG UŽIVO
11826;;AKTUALAC - NOVA ETAPA ISTE PRIČE - MJESEC DANA NOVOG RATA | BDNG UŽIVO
10621;;KREATORI KAOSA - POSLJEDICE RATA NA BLISKOM ISTOKU| BDNG UŽIVO #183
11976;;U SJENI (AI) RATA? | BDNG UŽIVO #182
9691;;TREĆI HRAM - RAT NAJAVLJEN U PISMU ALBERTA PIKEA IZ 1871. | BDNG UŽIVO
12281;;SPECIJAL - IRAN: BLISKI ISTOK U PLAMENU | BDNG UŽIVO #180
7360;;SPECIJAL - RAT U IRANU - OPERACIJA 'EPSKI BIJES' | BDNG UŽIVO #179
11430;;IRAN - NOVA, ALI STARA PRIČA S BLISKOG ISTOKA | BDNG UŽIVO #178
12341;;AKTUALAC - OD PRINCA do IRANA, MAGA-e i FUENTESA | BDNG UŽIVO #177
10896;;PRIČA JE DUBOKA | BDNG UŽIVO #176
11075;;JEFFREY - ŠTO JE SVE IZAŠLO I ZAŠTO SADA? | BDNG UŽIVO #175
5396;;SPECIJAL: DOČEK RUKOMETAŠA - POLITIKA I(LI) SPORT(?) | BDNG UŽIVO #174
9413;;SPECIJAL - KOMENTIRAMO WEF 2026 | BDNG UŽIVO #173
12256;;SPECIJAL - PRATIMO UŽIVO TRUMPOV GOVOR U DAVOSU | BDNG UŽIVO #172
11338;;ŠTO SE DOGAĐA U IRANU? | BDNG UŽIVO #171
11630;;Specijal - TRUMPOV GOVOR NAKON SVRGAVANJA MADURA I NOVE PRIJETNJE | BD
5356;;TRUMP NAPAO VENEZUELU, MADURO PRIVEDEN. ŠTO SLIJEDI? | BDNG UŽIVO #169
12415;;AKTUALAC - GODINA NA IZMAKU, ŠTO NAM DONOSI 2026.? | BDNG UŽIVO #168
14460;;AKTUALAC - MOGUĆE ZADNJI ZA 2025. | BDNG UŽIVO #167
12981;;AKTUALAC - STANJE U SAD-u IZ PERSPEKTIVE MAGA POKRETA, NICKA FUENTESA 
