522;;20260915;;YTgsE5GE-lg;;Predstavljanje programa „Jesen u Poreču 2026“
579;;20260911;;HmrcWZ59Ac4;;Horizont dodjela nagrada - Otvoreno prvenstvo Hrvatske u klasi Optimist U16
624;;20260911;;8mEQ8Er3PTQ;;Otvoreno prvenstvo Hrvatske u jedrenju za klasu Optimist U16 - 3. dan povratak
1266;;20260904;;2rjB0TjXzDk;;Otvoreno prvenstvo Hrvatske u jedrenju za klasu Optimist U16JK Horizont Poreč - prvi dan
398;;20260904;;szLH6C_26bA;;POREČ: Otvoreno prvenstvo Hrvatske u jedrenju za klasu Optimist U16 2026
427;;20260904;;uht8-HHBvjs;;JK Horizont Poreč Otvoreno prvenstvo Hrvatske u jedrenju za klasu Optimist 2026
660;;20260904;;rGOp-5jrK78;;Porečki Delfin 2026
1628;;20260904;;NqT4klYIoyo;;Uoči 25. Porečkog delfina, živo s porečkim gradonačelnikom Lorisom Peršurićem s plaže Pica
1249;;20260725;;5e5xzGjY9AY;;Otvoren je energetski obnovljeni Zavičajni Muzej poreštine i izložba Metamorfoze gline
294;;20260725;;qS5p9loPSjk;;Purobeach Grand Opening 
266;;20260725;;c8aAfI9ACp4;;POCO Poreč Coctail festival 🍹 - dan 2.
608;;20260725;;H_MACpicXzQ;;POCO Coctail festival Park Olge Ban
764;;20260725;;x8LmTpEfQ2A;;Pronađena živa jedinka Periske 🦪 u Poreču 24.06.2026.
6514;;20260625;;f0FaR2G6VQ8;;FESTIVAL PUHAČKIH 🎺 ORKESTRA  Sv Lovreč 🥁 20.06.2026.
628;;20260625;;dDkGqz7y_y0;;"Poco Loco" iz Gračišća 🪗 - Sv. Lovreč 
510;;20260625;;6RzJAUui5XA;;JudoFest 🥋 Poreč 2026
1957;;20260625;;4ujbnRLxs4A;;Zamjena molova u Lučici Poreč ⚓️ 12.06.2026.
174;;20260625;;_d6tVuhfZPE;;Lučica Poreč  20.01.20026. - PRIJE UREĐENJA
3150;;20260625;;nXS4WiLEuG8;;Uređenje Lučice Poreč - Step by Step
559;;20260625;;6Ntk6mic5RQ;;⛵️ REGATA POREČKIM                                          PRIOBALJEM  "LA MULA DE PARENZ
2343;;20260625;;G5_K5fTB_fo;;Gostovanje gradonačelnika grada Poreča Lorisa Peršurića
1019;;20260525;;DmE8CJoC4Wk;;VALAMAR: Predstavljanje Pical Resorta 5*
203;;20260525;;8Mdx6v2UwLA;;Predstavljanje Pical Resort 5*
528;;20260525;;3VccqItaSWQ;;Prezentacija vatrogasnih vozila i opreme JVP POREČ povodom Dana vatrogastva
234;;20260525;;o2AK97Bs_Vg;;Mambo Kings Poreč  Brazil
1374;;20260525;;KbhsplJbnvM;;Mambo Kings  proslava 1.Maja - Poreč
1927;;20260525;;g7dzFXmAYkY;;Gradsko kupalište Poreč proslava Praznika rada uz dobru glazbu i fažol okupila mnoštvo pos
5023;;20260525;;OnwE7XZkcV4;;Svečana sjednica u povodu obilježavanja Dana Grada Poreča-Parenzo
942;;20260425;;0uhdzVymAls;;Hoditi i zdravi biti 2026
141;;20260425;;Iu43xCLNYbg;;Uskrsno jutro u Poreču 🪺🐰☀️🐣#uskrs #easter #pasqua
571;;20260425;;0Io-aETNOfA;;Uskrs u Poreču 4.4.26.
50;;20260425;;x3FuIOqdJbo;;Poreč u Uskrsnoj čaroliji ♥️
216;;20260425;;vpffuBVqvJ4;;Mystery of the Girl from Učka Tunnel
2142;;20260425;;tTsWSmFpTrA;;U studiju Radio Centra 25.03.2026. gostovao je gradonačelnik grada Poreča Loris Peršurić
98;;20260325;;njowlr4UcDY;;Svake godine u mirnu uvalu Peškera vraćaju se dva graciozna labuda
218;;20260225;;UtkLhCUeYlQ;;The Mystery of the Girl from the Učka Tunnel
768;;20260225;;avh_ZqPpF0k;;Sajam karijera  Poreč 2026
44;;20260225;;121xP8dCTXU;;♥️ Sretno Valentinovo od ♥️                    #valentinesday
800;;20260225;;rxcM8ibeRkM;;Promohotel 11.02.2026.
2396;;20260225;;pxgp8uNMtX8;;U studiju Radio Centra 30.01.2026. gostovao je gradonačelnik grada Poreča Loris Peršurić
1181;;20260125;;bTA-Tf6PK90;; MP Thompson  - Poreč 🇭🇷 #hodočasnik #thompson
873;;20260125;;TAeE8vL3Ejg;;Natjecanje u izradi istarske supe uz Alfa Time 27.12.2025.
135;;20251225;;3OrNvrGa8nw;;Čestit i blagoslovljen Božić pun zdravlja, mira i veselja s vašim najmilijima želi vam Rad
750;;20251225;;LOu0R9gJSVs;;Slatko jutro učenika TUŠ A. Štifanića oduševilo posjetitelje uspješan-humanitarni sajam SŠ
1935;;20251225;;LA30c-t454M;;Gradonačelnik Poreča Loris Peršurić o proračunu, socijalnoj politici, Facinki, Thompsonovo
2722;;20251125;;u1eoKpPRILs;;Svečano otvorenje 17. Crosfisha, međunarodnog ribarskog sajma
156;;20251125;;42yteUPnCIs;;POREČ: Dan sjećanja na žrtve Domovinskog rata i Dan sjećanja na Vukovar i Škabrnju
2277;;20251125;;r8sTulc2zS8;;Gostovanje gradonačelnika Lorisa Peršurića 07.11.2025.
1375;;20251125;;G9GjQ8pyoqI;;Povodom nastupa na Ironmena 70.3 razgovarali smo sa velečasnim Branimirom Šapina župnikom,
1199;;20251125;;2qDEN06BiH0;;Konferencija za medije predstavljanja 10. izdanja Adventa Poreč 2025
6429;;20251125;;fl7gDN4BES0;;Plava Laguna Ironman 70.3 Poreč
1528;;20251025;;OKnbahjnBvo;;Plava Laguna Ironkids uoči Plava Laguna Ironman 70.3 Poreč
534;;20251025;;6bit5HjqhJc;;Posjet ministra Tončija Glavine gradilištu Pical Resorta u Poreču
1913;;20251025;;p4S3P2paVP4;;SJEĆANJE NA HALIDA BEŠLIĆA POREČ ZA HALIDA BEŠLIĆA - Poreč, Istarska županija
262;;20251025;;zR55i7QYrps;;Hrvatska  reprezentativka u mačevanju ( sablja ) Zoe Marie Baldo - POREČ 12.10.2025.
1306;;20251025;;vLqSPRM3Y0w;;Padel FIP BRONZE Poreč - Parenzo 2025
731;;20251025;;3-zi0LxrxrE;;Ironman 70.3. - radio emisija
1598;;20251025;;r-a1yODRrI0;;Istria300  27.09.2025. CILJ ( Finish )
1599;;20251025;;MD6RvhfWCnU;;Istria300  27.09.2025. CILJ ( Finish )
905;;20251025;;il-jUYadctc;;Istria300  START - 27.09.2025.
META;;1810;;Radio Centar
