913;;20260919;;3zM8rVTYi0k;;JANJEĆI BURGER KAKAV NISTE PROBALI – OVAJ UMAK MIJENJA SVE!
1546;;20260912;;PjBM2gy0_-I;;Od BERBE ŠLJIVA do 6 SATI KUHANJA, a imamo i POKLON ZA VAS!?! 😱
2065;;20260911;;0h_anbJP65k;;Kina nas je SLOMILA: škorpioni, ŽOHARI i najčudnija hrana ikad! 🇨🇳
1731;;20260725;;drJRBkcOVoM;;Evo zašto više nećemo raditi janje na ražnju?
1431;;20260725;;GqC4lEN5x_g;;Skuhali smo jelo kojem se nitko nije nadao! Reakcije su strašne!?!
1111;;20260725;;1rnCLgD8iBM;;IMA LI OVO SMISLA KUPOVATI?!?
1374;;20260625;;Je7vnk-kYAs;;Mislili smo da znamo skuhati pravi gulaš… ONDA SMO DOŠLI U SLAVONIJU!
1406;;20260625;;V0fCoJ1Mihk;;RAŽANJ JE IZGORIO od tolike ljutine?!🔥TOTALNO UNIŠTENJE u Donjoj Stubici!
859;;20260525;;yYz9c_Epay0;;Talijani će nas ubiti radi ovoga! UNIŠTILI SMO PIZZU? 😱
678;;20260525;;9Ha4xKMx0Ss;;Ovaj komad mesa ste uvijek spremali KRIVO!
1019;;20260425;;u16DH6STZWI;;NIKAD niste jeli OVAKVU mesnu štrucu! Uskršnji spektakl
834;;20260325;;2HDXahWLm1k;;PROBALI SMO ČAK I MOZAK! Jarić od 6,5kg na žaru!
1462;;20260325;;A9TaVlWelzM;;SVADBARSKI KUPUS U ZEMLJANOM LONCU - NAJBOLJI NAČIN! 💪🔥
971;;20260325;;70wLQ21p3KQ;;OVO JE NAJBOLJI NAČIN DA ISPEČEŠ JANJETINU!
190;;20260325;;vZ5t7TVviYs;;DOMAĆI DONER KEBAB IZ PEĆNICE 😱🔥
984;;20260225;;ob469Uo6PDs;;Dalmatinski specijalitet: PIVAC ISPOD PEKE!
1204;;20260225;;X2b6Ia4rpiw;;MOŽE LI PIZZA ZA 3,5€ BITI BRUTALNA? 🍕😱
872;;20260225;;Qv5iHvzuEWE;;STARI RECEPT KOJI NAS JE IZUO! Vratina & pljukanci
882;;20260125;;8OiMk-ycX2Y;;Najskuplja sarma na Balkanu! 😱 Mnogi će reći da smo ludi!
448;;20260125;;UBugmJgUsA8;;Tko ne voli mljackanje - NEKA NE ULAZI U VIDEO!!!
952;;20260125;;uYiBpJrwOsk;;KFC ili DOMAĆE – Razlika nas je ŠOKIRALA! 😱
