2136;;20220925;;xOW0vC-Wkt8;;PressPlay podcast - Zašto je PM = MVP? w/ Luka Kaštelančić (epizoda 1)
1681;;20230925;;eeiw6YkxZyU;;PressPlay Podcast - Danko Rupčić otkriva What's SAP @KINGICTofficial (epizoda 2)
717;;20230925;;e3XRFmdNNyc;;PressPlay podcast - Blagdanski specijal s Plamenkom (epizoda 3)
1559;;20230925;;Ywjd7vG9cig;;PressPlay Podcast - Krešimir Plašć - 2B or not 2B hybrid (epizoda 4)
1724;;20230925;;kxSuFhzYBHI;;PressPlay Podcast - Elvira Pećnik - Zašto je BA "a must" u IT-ju? (epizoda 5)
2070;;20230925;;M7i8MT53pGo;;PressPlay Podcast - Tomislav Petričević - Next lev DEV (epizoda 6)
1291;;20240925;;WPszysuVayA;;PressPlay Podcast - Marko Stepić - IT'S all about ITS (epizoda 7)
1615;;20240925;;fxQ2rJ3zzhY;;PressPlay Podcast - Daria Dragčević - Navigating Success: GIS in Business Terrain (epizoda
1256;;20240925;;kSv50OveiCw;;PressPlay Podcast - Ivan Ivković - 2023 Recap (epizoda 8)
1235;;20240925;;ROxy-DvYL9k;;PressPlay podcast - Alen Adanić - Journey of a Mentor (epizoda 10)
1957;;20250925;;-gmKpqR6m80;;PressPlay podcast - Jasminka Golubić - SAP+AI= savršeni partneri za digitalnu transformaci
831;;20250925;;SYpJhpKqAOE;;PressPlay podcast - Sendi Radić - Blagdanski specijal (epizoda 12)
1436;;20251125;;V0kdRa2-T9M;;PressPlay Podcast - Davorin Perišić - All about the cloud (epizoda 13)
451;;20260225;;exb59AZXrLU;;Press Play Podcast - Kristina Alebić - 2025 recap (epizoda 14)
1029;;20260425;;UEOikSQG7u8;;PressPlay Podcast - Jasmin Štrkonjić - Infrastructure meets AI (epizoda 15)
