Superhuman life;;UCfDgEkzamTLATUJ6q6swt8w;;https://www.youtube.com/channel/UCfDgEkzamTLATUJ6q6swt8w;;4534;;Ana-Marija Špicnagel - Jesu li poticaji u poljoprivredi nužnost ili pak raj za p;;agriculture
Agroklub;;UCVrUUWqQ9ql_wekosrYaamw;;https://www.youtube.com/channel/UCVrUUWqQ9ql_wekosrYaamw;;4792;;AK podcast - Antun Vujić;;agriculture
Agroklub;;UCVrUUWqQ9ql_wekosrYaamw;;https://www.youtube.com/channel/UCVrUUWqQ9ql_wekosrYaamw;;323;;Antun Vujić odgovara na pitanje čitatelja o natječajima za mjeru 6;;agriculture
Smion;;UCtFM2XU8yjxHTMMaoTu15Ig;;https://www.youtube.com/channel/UCtFM2XU8yjxHTMMaoTu15Ig;;2330;;Dali su priliku snovima i nisu se pokajali - Podcast sa Brankicom Borović i Edom;;agriculture
ABC Adriatic Business Centre;;UCpjLDtr2bZtrvK94zIbc5dQ;;https://www.youtube.com/channel/UCpjLDtr2bZtrvK94zIbc5dQ;;5654;;ABC Live Stream - Panel,  Brendiranje poduzeća, obrta i OPG-ova;;agriculture
Agroklub;;UCVrUUWqQ9ql_wekosrYaamw;;https://www.youtube.com/channel/UCVrUUWqQ9ql_wekosrYaamw;;3798;;Marija Vučković u podcastu Agrokluba;;agriculture
Podcast Inkubator;;UCv3Ob6T4cg4Okj0iGTdeIbg;;https://www.youtube.com/channel/UCv3Ob6T4cg4Okj0iGTdeIbg;;8378;;A1 Nogometni Podcast #168 - Krešimir Antolić;;agriculture
Muchacho Channel;;UCCzNYv2OcSywH-9a51FdjKA;;https://www.youtube.com/channel/UCCzNYv2OcSywH-9a51FdjKA;;247;;Plodovi zemlje i OPG u Hrvatskoj | Jakob Kosić;;agriculture
Agroklub;;UCVrUUWqQ9ql_wekosrYaamw;;https://www.youtube.com/channel/UCVrUUWqQ9ql_wekosrYaamw;;230;;Božidar Pankretić o promjenama Zakona o poljoprivrednom zemljištu;;agriculture
La Vie Podcast;;UCpHByrAFwng4tMNh7Z4V9jQ;;https://www.youtube.com/channel/UCpHByrAFwng4tMNh7Z4V9jQ;;3473;;Zašto bismo trebali pisati pisma svojoj djeci | Milena Pačić Pižir | La Vie Podc;;agriculture
poljoprivrednica.hrPodcast;;UCRdQ7EmOMeWbEulwiDE3y_A;;https://www.youtube.com/channel/UCRdQ7EmOMeWbEulwiDE3y_A;;3725;;3. epizoda - Rodoljub Džakula, dr. med. vet. - Možemo li vratiti mlade na selo?;;agriculture
poslovniFM;;UC081faKTKatWEEMrPtyE_Og;;https://www.youtube.com/channel/UC081faKTKatWEEMrPtyE_Og;;2559;;Mladi inovator iz Hrvatske razvija stroj koji mijenja način pakiranja borovnica;;agriculture
